Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Rating
1,Unpolarized capacitor,C,C10,1.8n,C_0805,1,~,
2,Unpolarized capacitor,C,C5,100n,C_0805,1,~,
3,Unpolarized capacitor,C,C14,10n,C_0805,1,~,
4,Unpolarized capacitor,C,C4 C15,1u,C_1206,2,~,50V X7R
5,Unpolarized capacitor,C,C9,220n,C_0805,1,~,
6,Unpolarized capacitor,C,C1 C2 C3 C12,22u,C_1210,4,~,16V X5R
7,Polarised capacitor,CP,C11 C13,22u,CP_Elec_6.3x7.7,2,~,50V
8,Unpolarized capacitor,C,C6 C7 C8,4.7u,C_1210,3,~,50V X7R
9,"300mW Zener Diode, SOT-23",BZX84C4V7,D2,BZX84C4V7,SOT-23,1,https://www.onsemi.com/pub/Collateral/BZX84C2V4LT1-D.PDF,
10,40V 3A Schottky Barrier Rectifier Diode,MBRA340,D1,MBRA340,SMA,1,https://www.onsemi.com/pub/Collateral/MBRA340T3-D.PDF,
11,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J1 J2 J3,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,3,~,
12,Inductor with Iron Core,L_Core_Iron,L1,33u,Sumida_CDRH127,1,~,
13,Resistor,R,R7 R11,100,R_0805,2,~,
14,Resistor,R,R8 R9 R12,10k,R_0805,3,~,
15,Resistor,R,R2,16k,R_0805,1,~,
16,Resistor,R,R6,1k,R_0805,1,~,
17,Resistor,R,R10,2.2k,R_0805,1,~,
18,Resistor,R,R4,220k,R_0805,1,~,
19,Resistor,R,R5,6.8k,R_0805,1,~,
20,Trim-Potentiometer,R_POT_TRIM,RV1,20k,Bourns_3362P,1,~,
21,Trim-Potentiometer,R_POT_TRIM,RV2 RV3,50,Bourns_3362P,2,~,
22,3W Audio Power Amplifier with Shutdown Mode,LM4871,U2,LM4871,VSSOP-8_3.0x3.0mm_P0.65mm,1,http://www.ti.com/lit/ds/symlink/lm4871.pdf,
23,"3.5A, Step Down DC-DC Converter with Eco-mode, 4.5-60V Input Voltage, PowerSO-8",TPS54360DDA,U1,TPS54360DDA,TI_SO-PowerPAD-8_ThermalVias,1,www.ti.com/lit/ds/symlink/tps54360.pdf,





Component Groups:,24
Component Count:,38
Fitted Components:,36
Number of PCBs:,1
Total components:,36
Schematic Version:,v1.0
Schematic Date:,
BoM Date:,Sat 22 Sep 2018 20:41:32 MSK
Schematic Source:,/home/esynr3z/MyRepos/vfd-ps/vfd-ps.sch
KiCad Version:,Eeschema 6.0.0-rc1-unknown-r13783-618182dc
